image,question
test_0483,Does carcinomatosis show in situ of abdomen excellent fibrinopurulent peritonitis?
test_0042,Is reversible injury composed of granulation tissue overlaid by degraded blood?
test_0154,Has the surrounding zone clumped chromatin?
test_0246,Is iron on absorption from upper small intestine present in subepithelial and perimuscular layers?
test_0442,"Does this image show thyroid, follicular adenoma?"
test_0851,Does conjoined twins show lateral view of head typical example?
test_0313,"Does the histologic appearance demonstrate small round,  uniform nuclei and moderate cytoplasm?"
test_0057,"Does pbf show crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?"
test_0972,Is cardiovascular present?
test_0210,Does strands show apple-green birefringence?
test_0182,Is the specimen of small intestine shown in longitudinal section along with a segment in cross section?
test_0745,Is gastrointestinal present?
test_0762,Does this image show wrights typical plasma cells?
test_0538,Does source show hydronephrosis?
test_0112,Did bilateral adrenal hemorrhage in an infant with overwhelming sepsis result in acute adrenal insufficiency?
test_0623,Is close-up tumor present?
test_0731,Is gastrointestinal present?
test_0449,Does this image show adrenal phaeochromocytoma?
test_0390,Is carcinoma metastatic lung present?
test_0233,Are defects in any of the six basophilic granular while the periphery shows healed granulomas?
test_0066,Does the masses show circumscribed?
test_0682,Is hematologic present?
test_0614,Are mitotic figures present?
test_0112,Is little residual cortical architecture discernible in this photomicrograph?
test_0574,Is acute peritonitis present?
test_0576,Does this section show hashimoto 's thyroiditis?
test_0983,Is cardiovascular present?
test_0123,Does irregular nuclear show three layers in the wall of hydatid cyst?
test_0462,Is infant body present?
test_0765,Is that present?
test_0575,Does lower chest and abdomen anterior show healing lesion in medium size artery just outside adrenal capsule section has folds?
test_0279,"Was the extensive subcutaneous fibrosis present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis center of field?"
test_0686,Is spleen present?
test_0549,Is metastatic carcinoma lung present?
test_0426,"Does this image show lung, bronchopneumonia, cystic fibrosis?"
test_0640,Is urinary present?
test_0231,"Does c, x-ray crystallography and infra-red spectroscopy show fibrils having cross -- pleated sheet configuration which produces periodicity that gives the characteristic staining properties of amyloid with Congo red and birefringence under polarising mic"
test_0213,Is the sequence on left increased?
test_0873,"Does abdomen show heart, myocardial infarction free wall, 6 days old, in a patient with diabetes mellitus and hypertension?"
test_0736,Is this image shows of smooth muscle cell with lipid in sarcoplasm and lipid present?
test_0059,Does their lumina have reniform contour?
test_0087,Is hematoxylin-eosin seen in small arteries?
test_0636,"Does this image show kidney, thickened and hyalinized basement membranes due to diabetes mellitus, pas?"
test_0967,Is cardiovascular present?
test_0579,Is amyloidosis present?
test_0062,Are the alveolar walls lined by cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern?
test_0581,"Does this image show thyroid gland, normal?"
test_0740,Is colon present?
test_0989,Is peritoneum present?
test_0383,Does this protocol have basal skull fracture chronic subdural hematoma malignant lymphoma and acute myelogenous leukemia ?
test_0378,"Is bone, calvarium present?"
test_0945,Is hepatobiliary present?
test_0618,Are extremities present?
test_0909,Does this image show lesions well shown?
test_0943,Is close-up excellent example of interosseous muscle atrophy present?
test_0681,Is Laceration present?
test_0210,Is the deposition extensive in the space of Disse causing compression and pressure atrophy of hepatocytes?
test_0589,Is female reproductive present?
test_0160,Were the thickened alveolar walls diffusely hyperplastic?
test_0463,Is malignant lymphoma present?
test_0990,Is optic nerve present?
test_0745,Is whipples disease present?
test_0488,Does this image show foam cell?
test_0182,Is aboratory findings of itp shown in longitudinal section along with a segment in cross section?
test_0380,"Is bone, calvarium present?"
test_0577,Is Hemochromatosis present?
test_0759,Is thymoma present?
test_0884,Is fibrinous peritonitis present?
test_0013,Is a fibrous capsule seen?
test_0611,Are good example tastefully shown with face out of picture and genitalia too short?
test_0677,Is carcinomatosis present?
test_0589,Is metastatic carcinoma lung present?
test_0492,Is cardiovascular present?
test_0428,"Does hematologic show lung, bronchopneumonia, cystic fibrosis?"
test_0544,Is red perifollicular amyloid deposits removed dramatic demonstration of size of kidneys?
test_0474,"Does leiomyosarcoma show cervix, squamous metaplasia?"
test_0250,"Are cystic hygromas characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?"
test_0734,Is eosinophilic adenoma present?
test_0023,Are congo red staining hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft?
test_0076,Does microscopy show characteristic lining of the cyst wall by epidermis and its appendages?
test_0454,Is intraductal papillomatosis with apocrine metaplasia present?
test_0236,Do numbers migrate along the incised margin on either side as well as around the suture track?
test_0485,Is amyloidosis present?
test_0579,Is angiogram present?
test_0941,Is hepatobiliary present?
test_0895,Does this image show organism?
test_0449,Is slide present?
test_0894,Does this image show oil immersion organism very well shown?
test_0855,Does acute lymphocytic leukemia show gram negative septicemia due to scalp electrode in a neonate?
test_0060,Are the capillary walls surrounded by abundant fibrous tissue and chronic interstitial inflammatory reaction?
test_0246,What is there of epithelium-lined spaces into the gallbladder wall in an area?
test_0622,Is hand present?
test_0027,Is carcinomatous tissue seen on the posterior aspect (lower left)?
test_0749,Is small intestine present?
test_0860,Does aldehyde fuscin show x-ray postmortcoronary arteries with multiple lesions?
test_0607,Is intraductal Papillomatosis With Apocrine Metaplasia present?
test_0204,Does this full-thickness histologic section show a segment surrounded by a series of thinly myelinated internodes of uneven length flanked on both ends by normal thicker myelin internodes?
test_0478,Does case of peritonitis slide show case of peritonitis slide illustrates pus from the peritoneal cavity?
test_0845,Does this image show posterior view of body lesions mostly in head neck and thorax?
test_0307,D lose whose cell membrane further during passage through the spleen?
test_0559,Does atrophy show coronary artery atherosclerosis diagram?
test_0970,Is omphalocele present?
test_0952,Does this image show perineural invasion typical prostate carcinoma?
test_0499,Is leiomyoma present?
test_0597,Is this true bilateral krukenberg?
test_0007,Is onsumption of tobacco in india also seen in the wall?
test_0589,Is granulosa cell tumor present?
test_0628,Is hand present?
test_0859,Is quite good liver present?
test_0692,Does this image show pancreatic fat necrosis?
test_0560,Does slide show coronary artery atherosclerosis diagram?
test_0595,Does this image show opened lesion with necrotic center not too typical?
test_0656,Does purulent sinusitis show opened chest with Breast plate removed easily seen air bubbles?
test_0966,Is cardiovascular present?
test_0871,"Does this image show abdominal aorta, severe atherosclerosis?"
test_0204,"Does the right axon,  by contrast,  show a segment surrounded by a series of thinly myelinated internodes of uneven length flanked on both ends by normal thicker myelin internodes?"
test_0743,Is gastrointestinal present?
test_0739,Is aldehyde fuscin present?
test_0163,Is the kidney contrasted with normal basal polarity in columnar epithelium?
test_0099,Is reversible injury considered to culminate in necrosis if the injurious stimulus is not removed by convention?
test_0978,Is cardiovascular present?
test_0156,Are some leucocytes and red cells and a tight meshwork shown as seen from the left ventricular surface?
test_0307,Does this result in spherical contour and small size so as to contain the given volume of haemoglobin in the deformed red cell?
test_0832,"Does this image show skin, neurofibromatosis?"
test_0233,Does microscopy show healed granulomas?
test_0945,"Does this image show liver, cholestasis and cirrhosis in a patient with cystic fibrosis?"
test_0971,Is cardiovascular present?
test_0749,Is atrophy present?
test_0381,Is source present?
test_0236,Are the incised wound as well as suture track on either side filled with blood clot?
test_0489,Is vasculature present?
test_0680,Does liver show congested spleen infarct easily seen?
test_0890,Does carcinomatous meningitis show thermal burned skin?
test_0307,"Do mutations in membrane proteins-alpha-spectrin, beta-spectrin and ankyrin, result in defect in anchoring of lipid bilayer of the membrane to the underlying cytoskeleton?"
test_0156,Are the location of vegetations on mitral valve shown as seen from the left ventricular surface?
test_0751,"Does atrophy secondary to pituitectomy show esophagus, herpes, ulcers?"
test_0704,"Does this image show pancreas, thrombi and hemorrhage due to disseminated intravascular coagulation dic?"
test_0059,"Does sectioned surface show irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?"
test_0611,Are extremities present?
test_0281,Is the section of the mitral valve seen?
test_0971,"Does this image show heart, myocardial infarction, wavey fiber change, necrtosis, hemorrhage, and dissection?"
test_0169,Does the basal layer show hydropic degeneration and loss of dermoepidermal junction?
test_0001,Is squamous cell carcinoma composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?
test_0642,Does this image show kidney transplant rejection?
test_0964,"Does leiomyosarcoma show atherosclerosis, right coronary artery?"
test_0747,"Does iron show stomach, giant rugose hyperplasia?"
test_0758,Is infant body present?
test_0470,Is 70yof present?
test_0890,Does this image show thermal burned skin?
test_0730,Is gastrointestinal present?
test_0964,Is stillborn cord around neck present?
test_0577,Is endocrine present?
test_0295,Is glioblastoma a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?
test_0464,Is placenta present?
test_0458,Is anencephaly present?
test_0837,Does this image show close-up of bullous skin lesions and peeling of skin?
test_0498,Is gastrointestinal present?
test_0484,Does this image show muscle ruthenium red to illustrate glycocalyx?
test_0077,Is ziehl-neelsen or afb parallel to the increasing severity of grades?
test_0623,Is hand present?
test_0570,Was sella empty case of type i diabetes with pituitectomy for retinal lesions 9 years?
test_0945,"Does acute peritonitis show liver, cholestasis and cirrhosis in a patient with cystic fibrosis?"
test_0439,Is endocrine present?
test_0182,"Does external surface show increased mesenteric fat, thickened wall and narrow lumen?"
test_0806,Is prostate present?
test_0390,"Does squamous cell carcinoma, lip remote, show close-up view of hemorrhagic excavation quite good?"
test_0741,Does this image show pas hematoxylin?
test_0443,Is endocrine present?
test_0764,Is nodular tumor present?
test_0059,"Does the margin of the colony show irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?"
test_0520,"Does this image show lymph node, cryptococcosis?"
test_0744,Is gastrointestinal present?
test_0187,Is the wound around one another with regularly spaced binding of the congo red not seen in this section?
test_0040,Are the alveoli filled with a characteristic foamy acellular exudate?
test_0544,Is this therapy present?
test_0898,Does good example of muscle atrophy show panniculitis and fascitis?
test_0754,Does this image show ring form?
test_0480,Does this image show opened muscle probably psoas natural color large ovoid typical sarcoma?
test_0688,Does this image show sectioned vertebrae with no red marrow case of chronic myelogenous leukemia in blast crisis?
test_0093,Did the cysts form a poorly defined nodule?
test_0368,Is metastatic pancreas carcinoma present?
test_0157,"Are cross section cs alternate areas of collapsed and dilated alveolar spaces, many of which are lined by eosinophilic hyaline membranes?"
test_0495,Does this image show skeletal muscle?
test_0986,Is nodular tumor present?
test_0982,Is muscle atrophy present?
test_0941,"Does hematoma show liver, normal?"
test_0523,"Does this image show lymph node, cryptococcosis?"
test_0611,Do sets appear clubbed?
test_0279,Are predominance of blastemal morphology and diffuse anaplasia associated with specific molecular lesions ?
test_0197,Does microscopy of intestine show caseating epithelioid cell granulomas in the intestinal wall?
test_0935,"Does this image show liver and pancreas, hemochromatosis?"
test_0588,Is acrocyanosis present?
test_0453,"Does this image show parathyroid, functional adenoma?"
test_0485,"Does spina bifida show chagas disease, acute, trypanasoma cruzi?"
test_0615,Are extremities present?
test_0568,Is hematoma present?
test_0610,Does lower chest and abdomen anterior show normal breast?
test_0681,Is fracture present?
test_0861,Is retroperitoneal liposarcoma present?
test_0093,Did collection of microglial cells form a poorly defined nodule?
test_0811,Does this image show large median bar type lesion with severe cystitis?
test_0486,Is coronary artery present?
test_0418,Is metastatic malignant melanoma present?
test_0096,Did onsumption of tobacco in india open appendix showing impacted faecolith in the lumen and exudate on the serosa?
test_0571,Does this image show typical lesion in small artery just outside capsule?
test_0673,Does cat scan showing tumor mass invading superior vena ca?
test_0924,Is disease present?
test_0852,Does this image show joined anterior chest and abdomen?
test_0477,Is tuberculous peritonitis present?
test_0990,Is cytomegaly present?
test_0005,Is section from margin of amoebic ulcer mild epithelial hyperplasia in terminal ducts?
test_0448,"Does lymphangiomatosis show adrenal, cortical adenoma?"
test_0883,Is cardiovascular present?
test_0865,Is this present?
test_0452,Is capillary present?
test_0169,Is the affected area on right hyperkeratosis and follicular plugging?
test_0620,Does nipple duplication show necrosis of distal finger in a patient with panniculitis and fascitis?
test_0306,Do well-defined nodules compress the urethra into a slitlike lumen?
test_0735,Is endocervical polyp present?
test_0458,Is metastatic carcinoma oat cell present?
test_0743,Is amebiasis present?
test_0628,Is gangrene present?
test_0460,Is retroperitoneal liposarcoma present?
test_0611,Is good example tastefully shown with face out of picture and genitalia present?
test_0484,Is cardiovascular present?
test_0153,Are a wedge-shaped shrunken area of pale colour non-caseating epithelioid cell granulomas which have paucity of lymphocytes?
test_0735,Is Pinworm present?
test_0687,Does this image show tail of pancreas with spleens?
test_0841,Does this image show thermal burn?
test_0429,Is traumatic rupture present?
test_0871,Is cardiovascular present?
test_0563,Is endocrine present?
test_0497,Is gastrointestinal present?
test_0594,Does this image show excellent example of rather large submucous myoma?
test_0486,Is lower chest and abdomen anterior present?
test_0741,Is pus in test tube present?
test_0766,Is blood present?
test_0650,Is urinary present?
test_0574,Does cachexia stain?
test_0683,Is spleen present?
test_0307,Does the wedge-shaped infarct result in spherical contour and small size so as to contain the given volume of haemoglobin in the deformed red cell?
test_0391,Is basilar skull fracture present?
test_0366,"Does ulcer with candida infection show lung, histoplasma pneumonia?"
test_0647,"Does this image show renal pelvis, squamous metaplasia due to chronic urolithiasis?"
test_0765,Is bone marrow present?
test_0471,Does this image show bizarre strap and fusiform cells?
test_0565,Is vessel present?
test_0808,Does this image show fixed tissue tumor masses with necrosis easily seen?
test_0568,Is endocrine present?
test_0554,"Does this image show skin, kaposi 's sarcoma?"
test_0673,Does this image show cat scan showing tumor mass invading superior vena ca?
test_0427,Is edema present?
test_0246,Is there subepithelial and subserosal fibrosis and hypertrophy of muscularis?
test_0681,Is spleen present?
test_0092,"Does sectioned surface show circumscribed, dark tan, haemorrhagic and necrotic tumour?"
test_0678,Is cardiovascular present?
test_0980,Is cardiovascular present?
test_0385,Is choanal atresia present?
test_0142,Is the gallbladder mucosa infiltrated by chronic inflammatory cells?
test_0478,Is tuberculous peritonitis present?
test_0694,Does this image show normal pancreas?
test_0557,Does this image show null cell dr garcia tumors 35?
test_0563,"Does photo show adrenal, polyarteritis nodosa with infarct?"
test_0285,Is the heart increased in the number of layers of epithelium?
test_0531,Is lymph node present?
test_0889,Does this image show migratory thrombophlebitis?
test_0737,Is stillborn macerated present?
test_0598,Is uterus present?
test_0596,Is benign cystic teratoma present?
test_0389,Does an opened peritoneal cavity cause by fibrous band strangulation show dr garcia tumors b4?
test_0045,Does a Masson trichrome preparation show complete replacement of virtually all glomeruli by blue-staining collagen?
test_0490,Is breast present?
test_0744,Does this image show typical infiltrating adenocarcinoma and normal mucosa?
test_0191,Does Movat produce a serrated architecture when glands are cut in cross-section?
test_0629,Is hand present?
test_0453,"Does this section showing liver with tumor mass in hilar area tumor show parathyroid, functional adenoma?"
test_0462,Does this image show normal breast?
test_0764,Is temporal muscle hemorrhage present?
test_0488,Does carcinomatosis show foam cell?
test_0372,"Was coronary artery anomalous origin left from pulmonary artery used to sclerose emphysematous lung, alpha-1 antitrypsin deficiency?"
test_0865,Does nodular tumor show coronary artery atherosclerosis?
test_0926,Does umbilical cord show normal liver?
test_0978,Does conjoined twins show atherosclerosis?
test_0730,Is papillary intraductal adenocarcinoma present?
test_0502,Is fibrinous peritonitis present?
test_0908,Does this image show saggital section typical do not know history but probably breast lesion?
test_0447,Is coronary artery anomalous origin left from pulmonary artery present?
test_0474,Is female reproductive present?
test_0007,Is a partly formed unerupted tooth also seen in the wall?
test_0595,Does chromophobe adenoma show opened lesion with necrotic center not too typical?
test_0468,"Does this image show cervix, squamous metaplasia?"
test_0845,Is leiomyosarcoma present?
test_0729,Is gastrointestinal present?
test_0872,"Does this image show abdominal aorta saccular aneurysm, atherosclerosis?"
test_0859,Is cardiovascular present?
test_0590,Is mixed mesodermal tumor present?
test_0745,Is intestine present?
test_0696,Does pneumocystis show pancreatic fat necrosis?
test_0361,Is spinal column present?
test_0128,"Does bilayer lipid membrane have inflammatory cell infiltrate, newly formed blood vessels and young fibrous tissue in loose matrix?"
test_0183,Is the cut surface no significant inflammation or fibrosis?
test_0573,Is heart present?
test_0866,Does newborn cord around neck show amyloidosis?
test_0596,Is female reproductive present?
test_0076,Are islands of mature cartilage also seen?
test_0528,Is metastatic carcinoma present?
test_0659,Does purulent sinusitis show rather close-up view of tumor cut surface?
test_0060,Does the scarred area show atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation?
test_0014,"Is cell necrosis identified by homogeneous, eosinophilic cytoplasm?"
test_0511,Does atherosclerosis show esophageal varices due to alcoholic cirrhosis?
test_0620,Are cells present?
test_0600,Is female reproductive present?
test_0380,Is rheumatoid arthritis present?
test_0149,Is chematic representation of mechanisms surrounded by increased fat?
test_0971,Is marfans syndrome present?
test_0481,Is abdomen present?
test_0605,Is female reproductive present?
test_0682,Is this a thymus?
test_0495,Does atrophy show skeletal muscle?
test_0450,"Does this image show adrenal, pheochromocytoma?"
test_0611,Is foot present?
test_0887,"Does this image show skin, neurofibromatosis?"
test_0682,Is normal ovary present?
test_0421,Is coronary artery present?
test_0591,Is female reproductive present?
test_0989,Is newborn cord around neck present?
test_0608,Is metastatic Carcinoma present?
test_0848,Is this the best photo to illustrate this case externally?
test_0975,Is intraductal papillomatosis present?
test_0673,Does villous adenoma show cat scan showing tumor mass invading superior vena ca?
test_0938,Is angiogram saphenous vein bypass graft present?
test_0585,Does this image show external view typical appearance?
test_0268,Does the sectioned surface show dark tan firm areas with base on the pleura?
test_0986,Does newborn cord around neck show epithelial component resembling endometrium?
test_0617,Does granulomata slide show typical gangrene?
test_0572,Does this image show hashimoto 's thyroiditis?
test_0727,"Does endocrine show esohagus, candida?"
test_0489,Is cranial artery present?
test_0577,Is very good example present?
test_0892,Is fibrinous peritonitis present?
test_0454,Is Nodule present?
test_0050,Are abscesses present in the putamen and thalamus?
test_0363,"Does this image show lung, congestion, heart failure cells hemosiderin laden macrophages?"
test_0679,Is spleen present?
test_0225,Does the affected area on right show non-specific chronic inflammation and proliferating vessels?
test_0480,Is abdomen present?
test_0676,Is hematologic present?
test_0118,Are small nests of epithelial cells and myxoid stroma forming cartilage and bone heaped up within the sinuses of Valsalva?
test_0418,Does this image show Breast cancer metastasis to lung?
test_0615,Are trophic changes present?
test_0385,Is teeth present?
test_0045,Does there show complete replacement of virtually all glomeruli by blue-staining collagen?
test_0578,Is this typical lesion present?
test_0043,Are intraepithelial and lamina propria neutrophils prominent?
test_0574,Is Hemochromatosis present?
test_0964,Is vasculature present?
test_0311,Does the coarsely nodular gland contain areas of fibrosis and cystic change?
test_0582,Is aorta present?
test_0596,Is ovary present?
test_0606,"Does liver show breast, fibroadenoma?"
test_0242,Does the breast show a tumour extending up to nipple and areola?
test_0735,Does this image show organisms not appendix structures in photo?
test_0703,Is no cystic aortic lesions present?
test_0798,Does postpartum show acute pancreatitis?
test_0220,Is inflammatory cell infiltration marked at the line of demarcation between the infarcted and normal bowel?
test_0190,"Are bite cells similar to the one in this smear seen at this stage,  associated with regeneration and repair?"
test_0060,Are trophozoites of entamoeba histolytica included thick-walled?
test_0593,Is ovary present?
test_0506,"Does this image show esophagus, mallory-weiss tears?"
test_0596,Is fibrotic lesion present?
test_0833,Is antitrypsin present?
test_0053,Does the circle shown with red line contain progressively less rna and more haemoglobin?
test_0106,Does the amputated head of the long bone show lobulated mass with bluish cartilaginous hue infiltrating the soft tissues?
test_0480,Is retroperitoneal leiomyosarcoma present?
test_0677,Is hematologic present?
test_0376,Is lymphangiomatosis present?
test_0854,Is newborn Cord Around Neck present?
test_0153,Is a giant cell with inclusions also seen in the photomicrograph?
test_0903,"Does metastatic neuroblastoma show skin, petechial hemorrhages from patient with meningococcemia?"
test_0736,"Does this image show oral dysplasia, neu?"
test_0603,Is female reproductive present?
test_0989,Does this image show vasculitis?
test_0381,Does bicornate uterus show body on autopsy table lesion that supposedly predicts premature coronary disease is easily seen?
test_0151,"Is the aneurysmal bone cyst with blood-filled cystic space surrounded by a fibrous wall containing proliferating fibroblasts,  reactive woven bone,  and osteoclast-type giant cells?"
test_0593,Is female reproductive present?
test_0127,Is the end of the long bone expanded in the region of epiphysis?
test_0059,Does rest of the kidney have reniform contour?
test_0443,Does this image show adrenal phaeochromocytoma?
test_0231,Does p-component show fibrils having cross -- pleated sheet configuration which produces periodicity that gives the characteristic staining properties of amyloid with Congo red and birefringence under polarising microscopy?
test_0488,Is atrophy present?
test_0966,Is liver present?
test_0616,Are extremities present?
test_0732,Is foot present?
test_0176,Is Stanford type B limited to descending aorta?
test_0357,Is respiratory present?
test_0567,"Does this image show pituitary, chromaphobe adenoma?"
test_0987,"Is lateral view spotted fever, immunoperoxidase staining vessels for rickettsia rickettsii?"
test_0025,Are defects in any of the six well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia?
test_0750,Is gastrointestinal present?
test_0865,Is chronic ischemia present?
test_0684,Is hematologic present?
test_0809,Is benign hyperplasia present?
test_0914,Does this image show vertebral column with well shown gross lesions?
test_0428,Is linear fracture in occiput present?
test_0482,Is metastatic carcinoma present?
test_0380,Is carcinomatosis endometrium primary present?
test_0988,Is lesion of myocytolysis present?
test_0454,Is cachexia present?
test_0525,Does marfans syndrome show typical area of caseous necrosis with nearby early granuloma quite good source unknown?
test_0023,"Do liver cells include sclerosed glomeruli, tubular atrophy and fine interstitial fibrosis?"
test_0975,Is vasculature present?
test_0927,Does this image show normal liver?
test_0864,Is cardiovascular present?
test_0470,Is leiomyosarcoma present?
test_0052,Is the dark color of the tumor nodules in this specimen due to the presence of melanin?
test_0173,Are these cells also enlarged with irregular outlines?
test_0460,Is conjoined twins present?
test_0510,"Does this image show intestine, leiomyoma?"
test_0439,"Does this image show pituitary, chromaphobe adenoma?"
test_0386,Does this image show very good example associated with tuberous sclerosis?
test_0508,"Does this image shows of smooth muscle cell with lipid in sarcoplasm and lipid show stomach and esophagus, ulcers?"
test_0613,Are extremities present?
test_0600,Is good example of muscle atrophy present?
test_0701,Does choanal atresia show normal pancreas?
test_0127,Is viral dna expanded in the region of epiphysis?
test_0748,Does this image show med alcian blue with apparently eosin counterstain enlarged villus with many macrophages source?
test_0175,"Is section from margin of amoebic ulcer perivascular infiltrate of plasma cells, lymphocytes and macrophages?"
test_0135,Does thickness and intensity of colour of arrows on left side of figure correspond to extent of metabolic pathway followed ADH = alcohol dehydrogenase ; ALDH or ACDH = hepatic acetaldehyde dehydrogenase ; NAD = nicotinamide adenine dinucleotide ; NADH = r
test_0465,Is female reproductive present?
test_0473,"Does this image show cervix, mild dysplasia?"
test_0755,Is opened uterus and cervix with large cervical myoma protruding into vagina slide present?
test_0442,Is amyloidosis present?
test_0217,Did confluent necrosis contain a dense lymphoid aggregate?
test_0218,Does microscopy show branching papillae having flbrovascular stalk covered by a single layer of cuboidal cells having ground-glass nuclei?
test_0446,Is endocrine present?
test_0686,Is breast present?
test_0387,Is purulent sinusitis present?
test_0149,Is matted mass of lymph nodes surrounded by increased fat?
test_0854,Is acute lymphocytic leukemia present?
test_0685,Is close-up excellent example of interosseous muscle atrophy present?
test_0072,"Did histologic view of the nodular stage demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?"
test_0510,"Does chromophobe adenoma show intestine, leiomyoma?"
test_0191,Are previous episodes of rheumatic valvulitis cut in cross-section?
test_0067,Does the necrotic tissue show a well-differentiated tumour composed of spindle-shaped cells forming interlacing fascicles producing a typical Herring-bone pattern?
test_0609,Does leiomyosarcoma show excellent invasive tumor with marked desmoplastic reaction?
test_0982,Does this image show polyarteritis nodosa?
test_0122,"Did early (reversible) ischemic injury increase eosinophilia of cytoplasm,  and swelling of occasional cells?"
test_0308,Is the epididymis involved by an abscess?
test_0911,Is joints present?
test_0740,Does this image show typical infiltrating adenocarcinoma extending to serosal fat?
test_0060,Are the blood vessels included are thick-walled?
test_0857,Is skin over back a buttocks present?
test_0578,Is peritoneal fluid present?
test_0641,Is all the fat necrosis present?
test_0380,Is benign cystic teratoma present?
test_0763,Is hematologic present?
test_0740,Is gastrointestinal present?
test_0907,Does this image show opened body typical?
test_0891,Does supernumerary digit show scleroderma?
test_0638,Does this image show abortive glomeruli?
test_0118,Are nodular masses of calcium heaped up within the sinuses of Valsalva?
test_0463,Is natural color present?
test_0768,Is close-up excellent example of interosseous muscle atrophy present?
test_0932,Does this image show cholangiocarcinoma?
test_0594,Is uterus present?
test_0674,"Does view of head with scalp show sickle cell disease, spleen?"
test_0752,Are organisms easily evident?
test_0727,Is gastrointestinal present?
test_0568,Is adrenal present?
test_0445,Is this image shows of smooth muscle cell with lipid in sarcoplasm and lipid present?
test_0123,Does inbox in the right photomicrograph show a scolex with a row of hooklets?
test_0879,"Does cranial artery show heart, right coronary artery, atherosclerosis and acute thrombus?"
test_0389,"Is bone, calvarium present?"
test_0170,"Does the cortical bone forming the outer shell show concentric lamellae along with osteocytic lacunae surrounding central blood vessels, while the trabecular bone forming the marrow space shows trabeculae with osteoclastic activity at the margins?"
test_0976,"Does lesion of myocytolysis show heart, papillary muscle, fibrosis, chronic ischemic heart disease?"
test_0765,Does iron stain excellent example source unknown?
test_0486,Is cardiovascular present?
test_0683,Is hematologic present?
test_0513,"Does this image show pharyngeal pouch remnant, incidental finding in an adult?"
test_0651,Is cytomegalovirus present?
test_0377,Does this image show large nodular osteoma in right temporal fossa?
test_0454,Does this image show typical so-called cortical adenomas?
test_0741,Is gastrointestinal present?
test_0758,"Does this photo show spleen, chronic congestion due to portal hypertension from cirrhosis, hcv?"
test_0627,Is cachexia present?
test_0924,"Does bone, skull show liver, cirrhosis and enlarged gall bladder?"
test_0107,Does circle shown with yellow-orange line represent cell cycle for stable cells?
test_0136,Are the lesions predominantly seen in lymph nodes and throughout lung parenchyma?
test_0477,Is situs Inversus present?
test_0583,"Does parathyroid show uterus, leiomyomas?"
test_0466,"Does fibrinous peritonitis show uterus, leiomyomas?"
test_0847,Does this image show lateral view of body with renal facies no neck?
test_0768,Is ameloblastoma present?
test_0061,Are organisms abundant within surface mucus?
test_0567,"Does retroperitoneal leiomyosarcoma show pituitary, chromaphobe adenoma?"
test_0620,Are extremities present?
test_0233,Does the periphery show healed granulomas?
test_0307,Does this produce a circulating subpopulation of hyperspheroidal spherocytes while splenic macrophages in large numbers phagocytose defective red cells causing splenomegaly?
test_0116,Does the stratum corneum around the hair follicle show presence of numerous arthrospores and hyphae?
test_0066,Is the main mass multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?
test_0697,Does very good example show cystic fibrosis?
test_0752,Does this image show organisms are easily evident?
test_0616,Does this image show simian crease?
test_0105,Does photomicrograph on right under higher magnification begin as a focus of microabscess in a vascular loop in the marrow which expands to stimulate?
test_0458,Does this image show close-up tumor is shown well?
test_0860,Is cardiovascular present?
test_0036,Are the lipofuscin pigment granules also included?
test_0551,Is myocardium present?
test_0968,Is cranial artery present?
test_0737,"Does this image show leukoplakia, egf receptor?"
test_0391,Is nodule present?
test_0860,Is angiogram present?
test_0744,Is omentum present?
test_0457,Does granulomata slide show adrenal phaeochromocytoma?
test_0990,Is retroperitoneum present?
test_0607,Is peritoneum present?
test_0926,Is hepatobiliary present?
test_0870,"Does this image show heart, recent coronary artery bypass graft?"
test_0590,Does this image show opened uterus polypoid tumor demonstrated?
test_0954,Is testicle present?
test_0494,Is capillary present?
test_0392,Does this image show x-ray chest well shown left hilar mass tumor in hilar node?
test_0388,Is slide present?
test_0582,Is newborn cord around neck present?
test_0564,Is vasculature present?
test_0678,Is hematologic present?
test_0837,Is metastatic melanoma sure what it looks like?
test_0983,"Does beckwith-wiedemann syndrome show heart, acute myocardial infarction, he?"
test_0188,Are the amyloid deposits seen mainly in the glomerular capillary tuft?
test_0739,Is colon present?
test_0241,Do large clusters of fibers appear that all share the same fiber type (fiber type grouping)?
test_0990,Does this image show glioma?
test_0907,Is soft tissue present?
test_0250,Is this condition cystic hygroma?
test_0963,Is tuberculosis present?
test_0691,Is hematologic present?
test_0501,Is malignant lymphoma present?
test_0224,Is chematic mechanisms involved in pathogenesis of two main types of diabetes mellitus?
